Structure_ID,Structure_Number,Line_Name,Number_of_Circuits,Structure_Status,Structure_Owner,Old_Primary_Circuit_ID,Structure_Comments,Structure_Global_ID,Structure_Object_ID,Inspection_Date,Inspection_Comments,Inspection_Attribute_Name,Inspection_Status,WorkOrder_Name,WorkOrder_Status,WorkOrder_Due_Date,WorkOrder_Created_By,WorkOrder_Assigned_Date,WorkOrder_Assigned_To
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.9406050,,STATIC,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:00.3463853,,FOUNDATION: Leg 1,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.7201086,,CROSSARMS,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.4731162,Replaced entire structure. Reason for this replacement is 'Reject',GROUNDLINE : R-Pole,REPLACED,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:03.0566177,,CROSSARMS,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:01.5574990,,POLE WALL: Leg 4,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:00.6464196,,FOUNDATION: Pole 4,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.5195826,,OTHER: Pole 5,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2020-01-07 14:29:02.8605961,,ANCHOR,GOOD,London Sweet Hollow,Completed,2020-02-29 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2020-01-02 00:00:00.0000000,FC93EAE8-6A00-4DE0-9635-1C3BFE898276
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.5671264,,BONDING,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
260FD03F-5073-4F74-83EC-00403A9B22EB,28,LONDON 093 (604) -- SWEET HOLLOW 215 (614),1,In Service,KU,0,0,68A832E0-F241-4E53-BC69-8372FFBB25C9,39934,2016-09-13 15:35:00.5041198,,CONDITION ABOVE GROUNDLINE : L-Pole,GOOD,london sweet replacements,Completed,2016-10-07 00:00:00.0000000,E49A665F-DE1B-4CB4-AEF3-83357A4AD2B0,2016-09-13 00:00:00.0000000,971BB602-E48B-42D2-AA09-C97E139FA7BC
